window,start_date,end_date,rmse,r2,directional_accuracy
218,2018-08-03,2018-08-03,0.00029612193,,1.0
219,2018-08-10,2018-08-10,0.008999722,,0.0
220,2018-08-17,2018-08-17,0.0024170754,,1.0
221,2018-08-24,2018-08-24,0.00027969852,,1.0
222,2018-08-31,2018-08-31,0.0050933287,,1.0
223,2018-09-07,2018-09-07,0.01735932,,0.0
224,2018-09-14,2018-09-14,0.012343325,,0.0
225,2018-09-21,2018-09-21,0.008044932,,1.0
226,2018-09-28,2018-09-28,0.017579596,,0.0
227,2018-10-05,2018-10-05,0.012619425,,0.0
228,2018-10-12,2018-10-12,0.037190754,,1.0
229,2018-10-19,2018-10-19,0.025174996,,0.0
230,2018-10-26,2018-10-26,0.017077781,,1.0
231,2018-11-02,2018-11-02,0.04484315,,0.0
232,2018-11-09,2018-11-09,0.027021723,,0.0
233,2018-11-16,2018-11-16,0.03690499,,0.0
234,2018-11-23,2018-11-23,0.04504803,,0.0
235,2018-11-30,2018-11-30,0.06885289,,0.0
236,2018-12-07,2018-12-07,0.041789837,,0.0
237,2018-12-14,2018-12-14,0.020856794,,0.0
238,2018-12-21,2018-12-21,0.056719713,,1.0
239,2018-12-28,2018-12-28,0.04930926,,0.0
240,2019-01-04,2019-01-04,0.06588146,,0.0
241,2019-01-11,2019-01-11,0.04141049,,0.0
242,2019-01-18,2019-01-18,0.016977903,,1.0
243,2019-01-25,2019-01-25,0.017081846,,1.0
244,2019-02-01,2019-02-01,0.004396581,,1.0
245,2019-02-08,2019-02-08,0.013515432,,1.0
246,2019-02-15,2019-02-15,0.026033295,,0.0
247,2019-02-22,2019-02-22,0.004527889,,1.0
248,2019-03-01,2019-03-01,0.013369825,,1.0
249,2019-03-08,2019-03-08,0.030631186,,0.0
250,2019-03-15,2019-03-15,0.042101704,,0.0
251,2019-03-22,2019-03-22,0.01302956,,0.0
252,2019-03-29,2019-03-29,0.002830267,,1.0
253,2019-04-05,2019-04-05,0.012670543,,1.0
254,2019-04-12,2019-04-12,0.015727635,,1.0
255,2019-04-19,2019-04-19,0.01408022,,1.0
256,2019-04-26,2019-04-26,0.0071731005,,1.0
257,2019-05-03,2019-05-03,0.010725321,,1.0
258,2019-05-10,2019-05-10,0.02762011,,0.0
259,2019-05-17,2019-05-17,0.0027964097,,1.0
260,2019-05-24,2019-05-24,0.006751621,,1.0
261,2019-05-31,2019-05-31,0.013061281,,1.0
262,2019-06-07,2019-06-07,0.059755653,,0.0
263,2019-06-14,2019-06-14,0.008031281,,1.0
264,2019-06-21,2019-06-21,0.008216219,,1.0
265,2019-06-28,2019-06-28,0.013110513,,0.0
266,2019-07-05,2019-07-05,0.005060898,,1.0
267,2019-07-12,2019-07-12,0.0070851776,,1.0
268,2019-07-19,2019-07-19,0.02598498,,0.0
269,2019-07-26,2019-07-26,0.018442908,,0.0
270,2019-08-02,2019-08-02,0.035301108,,0.0
271,2019-08-09,2019-08-09,0.00048317434,,1.0
272,2019-08-16,2019-08-16,0.008860538,,1.0
273,2019-08-23,2019-08-23,0.010905977,,1.0
274,2019-08-30,2019-08-30,0.035556905,,0.0
275,2019-09-06,2019-09-06,0.014334071,,1.0
276,2019-09-13,2019-09-13,0.0026137223,,1.0
277,2019-09-20,2019-09-20,0.02148165,,0.0
278,2019-09-27,2019-09-27,0.008211985,,1.0
279,2019-10-04,2019-10-04,0.011436332,,1.0
280,2019-10-11,2019-10-11,0.007216675,,0.0
281,2019-10-18,2019-10-18,0.0026145934,,1.0
282,2019-10-25,2019-10-25,0.0074756974,,1.0
283,2019-11-01,2019-11-01,0.005530334,,1.0
284,2019-11-08,2019-11-08,0.002176025,,1.0
285,2019-11-15,2019-11-15,0.004184276,,1.0
286,2019-11-22,2019-11-22,0.01237482,,0.0
287,2019-11-29,2019-11-29,0.007106981,,1.0
288,2019-12-06,2019-12-06,0.007229652,,1.0
289,2019-12-13,2019-12-13,0.0010095215,,1.0
290,2019-12-20,2019-12-20,0.008263964,,1.0
291,2019-12-27,2019-12-27,0.00074381195,,1.0
292,2020-01-03,2020-01-03,0.018149357,,0.0
293,2020-01-10,2020-01-10,0.00620095,,1.0
294,2020-01-17,2020-01-17,0.01960296,,0.0
295,2020-01-24,2020-01-24,0.025117021,,0.0
296,2020-01-31,2020-01-31,0.027862564,,0.0
297,2020-02-07,2020-02-07,0.045987613,,0.0
298,2020-02-14,2020-02-14,0.008315054,,1.0
299,2020-02-21,2020-02-21,0.03666996,,0.0
300,2020-02-28,2020-02-28,0.12706186,,0.0
301,2020-03-06,2020-03-06,0.024025138,,0.0
302,2020-03-13,2020-03-13,0.04727424,,1.0
303,2020-03-20,2020-03-20,0.12298517,,1.0
304,2020-03-27,2020-03-27,0.16466689,,0.0
305,2020-04-03,2020-04-03,0.019746916,,1.0
306,2020-04-10,2020-04-10,0.109356016,,0.0
307,2020-04-17,2020-04-17,0.01568953,,1.0
308,2020-04-24,2020-04-24,0.046822883,,0.0
309,2020-05-01,2020-05-01,0.015253397,,0.0
310,2020-05-08,2020-05-08,0.040486936,,0.0
311,2020-05-15,2020-05-15,0.03708917,,0.0
312,2020-05-22,2020-05-22,0.027733024,,1.0
313,2020-05-29,2020-05-29,0.025146216,,1.0
314,2020-06-05,2020-06-05,0.020528499,,1.0
315,2020-06-12,2020-06-12,0.09012346,,0.0
316,2020-06-19,2020-06-19,0.00026091933,,1.0
317,2020-06-26,2020-06-26,0.025838658,,1.0
318,2020-07-03,2020-07-03,0.021427326,,0.0
319,2020-07-10,2020-07-10,0.029687978,,0.0
320,2020-07-17,2020-07-17,0.00025980175,,1.0
321,2020-07-24,2020-07-24,0.017336357,,0.0
322,2020-07-31,2020-07-31,0.014768707,,1.0
323,2020-08-07,2020-08-07,0.019353753,,1.0
324,2020-08-14,2020-08-14,0.016043326,,1.0
325,2020-08-21,2020-08-21,0.0023250734,,1.0
326,2020-08-28,2020-08-28,0.024650397,,1.0
327,2020-09-04,2020-09-04,0.046185903,,0.0
328,2020-09-11,2020-09-11,0.04004994,,0.0
329,2020-09-18,2020-09-18,0.008533068,,1.0
330,2020-09-25,2020-09-25,0.00896961,,1.0
331,2020-10-02,2020-10-02,0.02926041,,0.0
332,2020-10-09,2020-10-09,0.033413798,,1.0
333,2020-10-16,2020-10-16,0.021797799,,1.0
334,2020-10-23,2020-10-23,0.019264996,,0.0
335,2020-10-30,2020-10-30,0.052596703,,1.0
336,2020-11-06,2020-11-06,0.101497374,,0.0
337,2020-11-13,2020-11-13,0.027374659,,0.0
338,2020-11-20,2020-11-20,0.02232787,,0.0
339,2020-11-27,2020-11-27,0.0126472935,,1.0
340,2020-12-04,2020-12-04,0.014655219,,1.0
341,2020-12-11,2020-12-11,0.027747173,,0.0
342,2020-12-18,2020-12-18,0.01189075,,1.0
343,2020-12-25,2020-12-25,0.0074618957,,0.0
344,2021-01-01,2021-01-01,0.013710537,,1.0
345,2021-01-08,2021-01-08,0.012340435,,1.0
346,2021-01-15,2021-01-15,0.031465095,,0.0
347,2021-01-22,2021-01-22,0.007880437,,1.0
348,2021-01-29,2021-01-29,0.034711987,,0.0
349,2021-02-05,2021-02-05,0.05308945,,0.0
350,2021-02-12,2021-02-12,0.00271626,,1.0
351,2021-02-19,2021-02-19,0.037433524,,0.0
352,2021-02-26,2021-02-26,0.032121558,,0.0
353,2021-03-05,2021-03-05,0.025331441,,0.0
354,2021-03-12,2021-03-12,0.038528502,,0.0
355,2021-03-19,2021-03-19,0.015854508,,0.0
356,2021-03-26,2021-03-26,0.0172029,,0.0
357,2021-04-02,2021-04-02,0.025542961,,1.0
358,2021-04-09,2021-04-09,0.005884869,,1.0
359,2021-04-16,2021-04-16,0.011302368,,1.0
360,2021-04-23,2021-04-23,0.019766666,,0.0
361,2021-04-30,2021-04-30,0.0040318966,,1.0
362,2021-05-07,2021-05-07,0.008199934,,1.0
363,2021-05-14,2021-05-14,0.018223614,,0.0
364,2021-05-21,2021-05-21,0.0036895021,,1.0
365,2021-05-28,2021-05-28,0.02259097,,0.0
366,2021-06-04,2021-06-04,0.0016755853,,1.0
367,2021-06-11,2021-06-11,0.005298878,,1.0
368,2021-06-18,2021-06-18,0.027273938,,0.0
369,2021-06-25,2021-06-25,0.03716941,,0.0
370,2021-07-02,2021-07-02,0.0089103,,1.0
371,2021-07-09,2021-07-09,0.012380399,,1.0
372,2021-07-16,2021-07-16,0.024926793,,0.0
373,2021-07-23,2021-07-23,0.017931517,,1.0
374,2021-07-30,2021-07-30,0.015656883,,0.0
375,2021-08-06,2021-08-06,0.008164503,,1.0
376,2021-08-13,2021-08-13,0.0059961732,,1.0
377,2021-08-20,2021-08-20,0.021870436,,0.0
378,2021-08-27,2021-08-27,0.006674489,,1.0
379,2021-09-03,2021-09-03,0.007858975,,1.0
380,2021-09-10,2021-09-10,0.031279583,,0.0
381,2021-09-17,2021-09-17,0.001595486,,1.0
382,2021-09-24,2021-09-24,0.0056964024,,0.0
383,2021-10-01,2021-10-01,0.028244095,,0.0
384,2021-10-08,2021-10-08,0.015138123,,0.0
385,2021-10-15,2021-10-15,0.018222218,,0.0
386,2021-10-22,2021-10-22,0.0009054728,,1.0
387,2021-10-29,2021-10-29,0.011686147,,1.0
388,2021-11-05,2021-11-05,0.007046529,,1.0
389,2021-11-12,2021-11-12,0.024913142,,0.0
390,2021-11-19,2021-11-19,0.008922973,,1.0
391,2021-11-26,2021-11-26,0.030289097,,0.0
392,2021-12-03,2021-12-03,0.007027393,,1.0
393,2021-12-10,2021-12-10,0.04890636,,0.0
394,2021-12-17,2021-12-17,0.033792466,,0.0
395,2021-12-24,2021-12-24,0.0019400185,,1.0
396,2021-12-31,2021-12-31,0.008392341,,1.0
397,2022-01-07,2022-01-07,0.03832511,,0.0
398,2022-01-14,2022-01-14,0.005512479,,0.0
399,2022-01-21,2022-01-21,0.0499342,,1.0
400,2022-01-28,2022-01-28,0.030107263,,0.0
401,2022-02-04,2022-02-04,0.0359213,,0.0
402,2022-02-11,2022-02-11,0.023516167,,0.0
403,2022-02-18,2022-02-18,0.019979239,,0.0
404,2022-02-25,2022-02-25,0.013762994,,0.0
405,2022-03-04,2022-03-04,0.010545712,,1.0
406,2022-03-11,2022-03-11,0.029855808,,0.0
407,2022-03-18,2022-03-18,0.07304494,,0.0
408,2022-03-25,2022-03-25,0.012921656,,1.0
